Platform,Project stage,Functional scope,Source,Keywords - IT skills required
Mendix,Requirements documentation,,https://docs.mendix.com/,
,,Workflow model,https://docs.mendix.com/refguide/nanoflows/,"""BPMN"""
,,Database model,https://docs.mendix.com/refguide/domain-model/,"""domain model"", ""data structure"", ""entity"", ""attribute"", ""association"", ""one-to-many"", ""many-to-many"",  ""denormalization"", ""XPath"""
,,UI model,https://docs.mendix.com/refguide/pages/,"""boolean expressions"", ""responsive web design"", ""data types"""
,,Validations,"https://docs.mendix.com/refguide/nanoflows/
https://docs.mendix.com/refguide/expressions/","""transactions"", ""JavaScript"", ""string functions"", ""conditional statements"", ""arithmetic expressions"", ""boolean expressions"", ""enumerations"""
,,Application logic,"https://docs.mendix.com/refguide/application-logic/
https://docs.mendix.com/refguide/resources/","""sequence flow"", ""activity diagram"", ""control structures"", ""algorithms"", ""Java"", ""JavaScript"", ""SQL/OQL"", ""regular expressions"", ""data types"""
,Design and development,,,
,,Workflow desing and development,"https://docs.mendix.com/refguide/workflows/
https://docs.mendix.com/refguide/workflow-engine/","""events"", ""triggers"", ""Java API"""
,,Database design,https://docs.mendix.com/howto/data-models/,"""denormalization"", ""relational database"", ""SQL"""
,,Fetching data,,
,,GUI design and development,https://docs.mendix.com/howto/front-end/,"""HTML/CSS"", ""SASS (SCSS)"", ""themes"""
,,Data validation development,https://docs.mendix.com/refguide/setting-up-data-validation/,"""conditional expressions"", ""boolean expressions"", ""domain model"""
,,Actions design and development,https://docs.mendix.com/howto/extensibility/build-javascript-actions/,"""Java"", ""JavaScript"", ""API"""
,,Programming,"https://docs.mendix.com/refguide/java-programming/
https://docs.mendix.com/refguide/mobile/introduction-to-mobile-technologies/","""Eclipse"", ""Java API"", ""Java"", ""emulators Andoid iOS"", ""PWA"", ""Native Mobile App"""
,Implementation,,,
,,Runtime server installation,https://docs.mendix.com/refguide/runtime-server/,"""file storage"", ""database synchronization"", ""REST"", ""SOAP"", ""WSDL"", ""Swagger"", ""relational database"", ""Xpath"", ""OQL"", ""Java"", ""API"", ""HTTPS Server"""
,,Database installation,https://docs.mendix.com/refguide/data-storage/,"""relational database"", ""file storage"""
,,Client module installation,https://docs.mendix.com/refguide/mendix-client/,"""HTTPS server"", ""API"""
,,Deployment,https://docs.mendix.com/developerportal/deploy/,"""Cloud services"", ""CI/CD"", ""Docker"", ""Kubernetes"""
,,Version control,https://docs.mendix.com/refguide/version-control/,"""git"", ""code repository concept"""
,,,,
Outsystems,Requirements documentation,,https://success.outsystems.com/documentation/,
,,Workflow model,https://success.outsystems.com/documentation/11/developing_an_application/use_processes_bpt/processes/,"""Custom Process Model"""
,,Database model,"https://success.outsystems.com/documentation/11/developing_an_application/use_data/data_modeling/entity_relationships/
???","""Entity"", ""Entity relationships"", ""Entity Diagrams"", ""primary key"", ""foreign key"", ""One-to-One"", ""One-to-Many"", ""Many-to-Many"", ""indexes"", ""data types""
Fetching data using human language"
,,UI model,https://success.outsystems.com/documentation/11/developing_an_application/design_ui/,"+""Screen templates"", ""Reactive Web App"", +""Human data types"", ""Variables"", ""Boolean expressions"", ""Conditional expressions"""
,,Validations,https://success.outsystems.com/documentation/11/developing_an_application/design_ui/forms/validate_the_fields_of_a_form/,"""Boolean expressions"", ""Conditional statements"""
,,Application logic,"https://success.outsystems.com/documentation/11/developing_an_application/implement_application_logic/actions_in_reactive_web_and_mobile_apps/
https://success.outsystems.com/documentation/11/developing_an_application/implement_application_logic/actions_in_web_applications/","+""Graphical actions"""
,Design and development,,,
,,Workflow desing and development,https://success.outsystems.com/documentation/11/developing_an_application/use_processes_bpt/,"""Custom Process Model"""
,,Database design,https://success.outsystems.com/documentation/11/developing_an_application/use_data/data_modeling/,"""relational database"", ""SQL"""
,,Fetching data,"https://success.outsystems.com/documentation/11/developing_an_application/use_data/query_data/fetch_data_using_human_language/
https://success.outsystems.com/documentation/11/developing_an_application/use_data/query_data/fetch_and_display_data_from_the_database_in_outsystems/
https://success.outsystems.com/documentation/11/developing_an_application/use_data/query_data/sql_queries/","+""Human language"", +""GUI queries"", ""SQL queries"""
,,GUI design and development,https://success.outsystems.com/documentation/11/developing_an_application/design_ui/,"""CSS"", ""grid"", ""Style Classes"", ""Responsive Web Design"", ""IT Data types"", ""Responsive breakpoints"", ""Reactive Web App"", ""Event propagation"", ""Master Detail"", ""Programming Functions"", ""HTML"""
,,Data validation development,https://success.outsystems.com/documentation/11/developing_an_application/design_ui/forms/validate_the_fields_of_a_form/,"""Conditional Expressions"", ""Boolean Expressions"", ""Data fields"", ""Entity"""
,,Actions design and development,"https://success.outsystems.com/documentation/11/developing_an_application/implement_application_logic/code_mentor_logic_suggestions/
https://success.outsystems.com/documentation/11/reference/outsystems_language/logic/expressions/","+""AI Assisted Development"", ""Expressions"", ""JavaScript"", ""REST"", ""SOAP"""
,,Programming,https://success.outsystems.com/documentation/11/extensibility_and_integration/extend_logic_with_your_own_code/,""".NET"", ""+Visual programming"", ""HTML DOM"", ""Iteration Statements"", ""Conditional Statements"""
,Implementation,,,
,,Runtime server installation,https://success.outsystems.com/documentation/11/setup_and_maintain_your_outsystems_infrastructure/setting_up_outsystems/,"""Deployment Controller Service"", ""Deployment Service"", ""Scheduler Service"", ""Compiler Service"", ""Log Service"", ""HTTPS Server"", ""Shared Libraries"", ""Load Balancing"""
,,Database installation,https://success.outsystems.com/documentation/11/setup_and_maintain_your_outsystems_infrastructure/setting_up_outsystems/default_platform_server_and_database_configurations/,"""relational database"", ""file storage"""
,,Client module installation,https://success.outsystems.com/documentation/11/setup_and_maintain_your_outsystems_infrastructure/setting_up_outsystems/,"""Binaries"", "".NET Framework"""
,,Deployment,https://success.outsystems.com/documentation/11/managing_the_applications_lifecycle/deploy_applications/,"""Cloud Computing"", ""CI/CD"", ""URL"", ""REST API"", ""SOAP"""
